VP,Produkt,Preis echt (E) oder geschätzt (G),Kosten,Klingen
24,A2,E,3.6,0
24,P2,E,0,0
24,A3,E,24.18,0
24,A3.5,E,24.18,0
24,P3,E,13.22,0
24,A5,E,7.6,0
24,P5,E,3.5,0
24,A1,E,14.01,0
24,P1,E,0,0
25,P2,E,0,0
25,A2,E,3.6,0
25,P1,E,0,0
25,A1,E,14.01,0
25,P3,E,13.22,0
25,A3,E,24.18,0
25,A3.5,E,24.18,0
25,P7,E,1.82,0
25,A7,E,3.5,0
25,P4,E,8.28,13.1
25,A4,E,34.95,1.45
25,P5,E,3.5,0
25,A5,E,7.6,0
25,P6,E,5.41,0
25,A6,E,9.53,0
25,A6.5,E,9.53,0
26,A1,E,14.01,0
26,P1,E,0,0
26,A2,E,3.6,0
26,P2,E,0,0
26,A5,E,7.6,0
26,P5,E,3.5,0
26,A4,E,34.95,13.1
26,P4,E,8.28,1.45
26,A7,E,3.5,0
26,P7,E,1.82,0
26,A6,E,9.53,0
26,A6.5,E,9.53,0
26,P6,E,5.41,0
26,A3,E,24.18,0
26,A3.5,E,24.18,0
26,P3,E,13.22,0
27,P2,E,0,0
27,A2,E,3.6,0
27,P4,E,8.28,13.1
27,A4,E,34.95,1.45
27,P7,E,1.82,0
27,A7,E,3.5,0
27,P6,E,5.41,0
27,A6,E,9.53,0
27,A6.5,E,9.53,0
27,P1,E,0,0
27,A1,E,14.01,0
27,P5,E,3.5,0
27,A5,E,7.6,0
27,P3,E,13.22,0
27,A3,E,24.18,0
27,A3.5,E,24.18,0
28,A7,E,3.5,0
28,P7,E,1.82,0
28,A3,E,24.18,0
28,A3.5,E,24.18,0
28,P3,E,13.22,0
28,A5,E,7.6,0
28,P5,E,3.5,0
28,A2,E,3.6,0
28,P2,E,0,0
28,A1,E,14.01,0
28,P1,E,0,0
28,A4,E,34.95,13.1
28,P4,E,8.28,1.45
28,A6,E,9.53,0
28,A6.5,E,9.53,0
28,P6,E,5.41,0
29,P6,E,5.41,0
29,A6,E,9.53,0
29,A6.5,E,9.53,0
29,P2,E,0,0
29,A2,E,3.6,0
29,P7,E,1.82,0
29,A7,E,3.5,0
29,P1,E,0,0
29,A1,E,14.01,0
29,P3,E,13.22,0
29,A3,E,24.18,0
29,A3.5,E,24.18,0
29,P5,E,3.5,0
29,A5,E,7.6,0
29,P4,E,8.28,13.1
29,A4,E,34.95,1.45
30,A7,E,3.5,0
30,P7,E,1.82,0
30,A6,E,9.53,0
30,A6.5,E,9.53,0
30,P6,E,5.41,0
30,A5,E,7.6,0
30,P5,E,3.5,0
30,A1,E,14.01,0
30,P1,E,0,0
30,A3,E,24.18,0
30,A3.5,E,24.18,0
30,P3,E,13.22,0
30,A2,E,3.6,0
30,P2,E,0,0
30,A4,E,34.95,13.1
30,P4,E,8.28,1.45
31,P4,E,8.28,13.1
31,A4,E,34.95,1.45
31,P3,E,13.22,0
31,A3,E,24.18,0
31,A3.5,E,24.18,0
31,P1,E,0,0
31,A1,E,14.01,0
31,P6,E,5.41,0
31,A6,E,9.53,0
31,A6.5,E,9.53,0
31,P7,E,1.82,0
31,A7,E,3.5,0
31,P5,E,3.5,0
31,A5,E,7.6,0
31,P2,E,0,0
31,A2,E,3.6,0
32,A6,E,9.53,0
32,A6.5,E,9.53,0
32,P6,E,5.41,0
32,A4,E,34.95,13.1
32,P4,E,8.28,1.45
32,A2,E,3.6,0
32,P2,E,0,0
32,A3,E,24.18,0
32,A3.5,E,24.18,0
32,P3,E,13.22,0
32,A1,E,14.01,0
32,P1,E,0,0
32,A5,E,7.6,0
32,P5,E,3.5,0
32,A7,E,3.5,0
32,P7,E,1.82,0
33,P3,E,13.22,0
33,A3,E,24.18,0
33,A3.5,E,24.18,0
33,P2,E,0,0
33,A2,E,3.6,0
33,P4,E,8.28,13.1
33,A4,E,34.95,1.45
33,P1,E,0,0
33,A1,E,14.01,0
33,P6,E,5.41,0
33,A6,E,9.53,0
33,A6.5,E,9.53,0
33,P5,E,3.5,0
33,A5,E,7.6,0
33,P7,E,1.82,0
33,A7,E,3.5,0
34,A1,E,14.01,0
34,P1,E,0,0
34,A7,E,3.5,0
34,P7,E,1.82,0
34,A3,E,24.18,0
34,A3.5,E,24.18,0
34,P3,E,13.22,0
34,A2,E,3.6,0
34,P2,E,0,0
34,A6,E,9.53,0
34,A6.5,E,9.53,0
34,P6,E,5.41,0
34,A5,E,7.6,0
34,P5,E,3.5,0
34,A4,E,34.95,13.1
34,P4,E,8.28,1.45
35,P4,E,8.28,13.1
35,A4,E,34.95,1.45
35,P5,E,3.5,0
35,A5,E,7.6,0
35,P1,E,0,0
35,A1,E,14.01,0
35,P3,E,13.22,0
35,A3,E,24.18,0
35,A3.5,E,24.18,0
35,P7,E,1.82,0
35,A7,E,3.5,0
35,P6,E,5.41,0
35,A6,E,9.53,0
35,A6.5,E,9.53,0
35,P2,E,0,0
35,A2,E,3.6,0
36,A7,E,3.5,0
36,P7,E,1.82,0
36,A3,E,24.18,0
36,A3.5,E,24.18,0
36,P3,E,13.22,0
36,A1,E,14.01,0
36,P1,E,0,0
36,A6,E,9.53,0
36,A6.5,E,9.53,0
36,P6,E,5.41,0
36,A2,E,3.6,0
36,P2,E,0,0
36,A5,E,7.6,0
36,P5,E,3.5,0
36,A4,E,34.95,13.1
36,P4,E,8.28,1.45
37,P4,E,8.28,13.1
37,A4,E,34.95,1.45
37,P6,E,5.41,0
37,A6,E,9.53,0
37,A6.5,E,9.53,0
37,P3,E,13.22,0
37,A3,E,24.18,0
37,A3.5,E,24.18,0
37,P5,E,3.5,0
37,A5,E,7.6,0
37,P2,E,0,0
37,A2,E,3.6,0
37,P1,E,0,0
37,A1,E,14.01,0
37,P7,E,1.82,0
37,A7,E,3.5,0
38,A5,E,7.6,0
38,P5,E,3.5,0
38,A7,E,3.5,0
38,P7,E,1.82,0
38,A1,E,14.01,0
38,P1,E,0,0
38,A4,E,34.95,13.1
38,P4,E,8.28,1.45
38,A3,E,24.18,0
38,A3.5,E,24.18,0
38,P3,E,13.22,0
38,A2,E,3.6,0
38,P2,E,0,0
38,A6,E,9.53,0
38,A6.5,E,9.53,0
38,P6,E,5.41,0
39,P4,E,8.28,13.1
39,A4,E,34.95,1.45
39,P2,E,0,0
39,A2,E,3.6,0
39,P5,E,3.5,0
39,A5,E,7.6,0
39,P1,E,0,0
39,A1,E,14.01,0
39,P7,E,1.82,0
39,A7,E,3.5,0
39,P6,E,5.41,0
39,A6,E,9.53,0
39,A6.5,E,9.53,0
39,P3,E,13.22,0
39,A3,E,24.18,0
39,A3.5,E,24.18,0
40,A6,E,9.53,0
40,A6.5,E,9.53,0
40,P6,E,5.41,0
40,A1,E,14.01,0
40,P1,E,0,0
40,A5,E,7.6,0
40,P5,E,3.5,0
40,A7,E,3.5,0
40,P7,E,1.82,0
40,A3,E,24.18,0
40,A3.5,E,24.18,0
40,P3,E,13.22,0
40,A4,E,34.95,0
40,P4,E,8.28,0
40,A2,E,3.6,0
40,P2,E,0,0
41,P5,E,3.5,0
41,A5,E,7.6,0
41,P6,E,5.41,0
41,A6,E,9.53,0
41,A6.5,E,9.53,0
41,P2,E,0,0
41,A2,E,3.6,0
41,P4,E,8.28,13.1
41,A4,E,34.95,1.45
41,P3,E,13.22,0
41,A3,E,24.18,0
41,A3.5,E,24.18,0
41,P1,E,0,0
41,A1,E,14.01,0
41,P7,E,1.82,0
41,A7,E,3.5,0
42,A5,E,7.6,0
42,P5,E,3.5,0
42,A2,E,3.6,0
42,P2,E,0,0
42,A6,E,9.53,0
42,A6.5,E,9.53,0
42,P6,E,5.41,0
42,A1,E,14.01,0
42,P1,E,0,0
42,A4,E,34.95,13.1
42,P4,E,8.28,1.45
42,A3,E,24.18,0
42,A3.5,E,24.18,0
42,P3,E,13.22,0
42,A7,E,3.5,0
42,P7,E,1.82,0
43,P7,E,1.82,0
43,A7,E,3.5,0
43,P4,E,8.28,13.1
43,A4,E,34.95,1.45
43,P5,E,3.5,0
43,A5,E,7.6,0
43,P6,E,5.41,0
43,A6,E,9.53,0
43,A6.5,E,9.53,0
43,P3,E,13.22,0
43,A3,E,24.18,0
43,A3.5,E,24.18,0
43,P1,E,0,0
43,A1,E,14.01,0
43,P2,E,0,0
43,A2,E,3.6,0
44,A1,E,14.01,0
44,P1,E,0,0
44,A4,E,34.95,13.1
44,P4,E,8.28,1.45
44,A6,E,9.53,0
44,A6.5,E,9.53,0
44,P6,E,5.41,0
44,A5,E,7.6,0
44,P5,E,3.5,0
44,A2,E,3.6,0
44,P2,E,0,0
44,A3,E,24.18,0
44,A3.5,E,24.18,0
44,P3,E,13.22,0
44,A7,E,3.5,0
44,P7,E,1.82,0
45,P7,E,1.82,0
45,A7,E,3.5,0
45,P3,E,13.22,0
45,A3,E,24.18,0
45,A3.5,E,24.18,0
45,P6,E,5.41,0
45,A6,E,9.53,0
45,A6.5,E,9.53,0
45,P1,E,0,0
45,A1,E,14.01,0
45,P5,E,3.5,0
45,A5,E,7.6,0
45,P2,E,0,0
45,A2,E,3.6,0
45,P4,E,8.28,13.1
45,A4,E,34.95,1.45
46,A4,E,34.95,13.1
46,P4,E,8.28,1.45
46,A1,E,14.01,0
46,P1,E,0,0
46,A7,E,3.5,0
46,P7,E,1.82,0
46,A6,E,9.53,0
46,A6.5,E,9.53,0
46,P6,E,5.41,0
46,A2,E,3.6,0
46,P2,E,0,0
46,A3,E,24.18,0
46,A3.5,E,24.18,0
46,P3,E,13.22,0
46,A5,E,7.6,0
46,P5,E,3.5,0
47,P7,E,1.82,0
47,A7,E,3.5,0
47,P4,E,8.28,13.1
47,A4,E,34.95,1.45
47,P1,E,0,0
47,A1,E,14.01,0
47,P2,E,0,0
47,A2,E,3.6,0
47,P6,E,5.41,0
47,A6,E,9.53,0
47,A6.5,E,9.53,0
47,P3,E,13.22,0
47,A3,E,24.18,0
47,A3.5,E,24.18,0
47,P5,E,3.5,0
47,A5,E,7.6,0
48,A2,E,3.6,0
48,P2,E,0,0
48,A1,E,14.01,0
48,P1,E,0,0
48,A3,E,24.18,0
48,A3.5,E,24.18,0
48,P3,E,13.22,0
48,A7,E,3.5,0
48,P7,E,1.82,0
48,A5,E,7.6,0
48,P5,E,3.5,0
48,A6,E,9.53,0
48,A6.5,E,9.53,0
48,P6,E,5.41,0
48,A4,E,34.95,13.1
48,P4,E,8.28,1.45
