VP,Produkt,Preis echt (E) oder geschätzt (G),Kosten,Klingen
10,A7,G,6,0
10,P7,G,2,0
10,A1,G,15,0
10,P1,G,0,0
10,A6,G,6.5,0
10,A6.5,G,6.5,0
10,P6,G,1.5,0
10,A4,G,17,2
10,P4,G,7,12
10,A3,G,20,0
10,A3.5,G,20,0
10,P3,G,15,0
10,A5,G,4,0
10,P5,G,2.7,0
10,A2,G,1.5,0
10,P2,G,0,0
11,P1,G,0,0
11,A1,G,5,0
11,P4,G,7,12
11,A4,G,15,5
11,P3,G,20,0
11,A3,G,20,0
11,A3.5,G,20,0
11,P6,G,3,0
11,A6,G,8,0
11,A6.5,G,8,0
11,P7,G,2,0
11,A7,G,4,0
11,P5,G,3,0
11,A5,G,3,0
11,P2,G,0,0
11,A2,G,0.5,0
12,A6,G,6.99,0
12,A6.5,G,6.99,0
12,P6,G,6,0
12,A3,G,20,0
12,A3.5,G,20,0
12,P3,G,18,0
12,A4,G,30,15
12,P4,G,6,4.5
12,A7,G,3.5,0
12,P7,G,3,0
12,A1,G,12,0
12,P1,G,0,0
12,A5,G,4,0
12,P5,G,3,0
12,A2,G,1.5,0
12,P2,G,0,0
13,P7,G,1.5,0
13,A7,G,3,0
13,P4,G,7,12
13,A4,G,20,3
13,P2,G,0,0
13,A2,G,0.7,0
13,P6,G,4,0
13,A6,G,12,0
13,A6.5,G,12,0
13,P1,G,0,0
13,A1,G,8,0
13,P3,G,10,0
13,A3,G,24,0
13,A3.5,G,24,0
13,P5,G,2,0
13,A5,G,5,0
14,A1,G,10,0
14,P1,G,0,0
14,A6,G,8,0
14,A6.5,G,8,0
14,P6,G,2,0
14,A5,G,5,0
14,P5,G,0.6,0
14,A7,G,4,0
14,P7,G,1.5,0
14,A3,G,10,0
14,A3.5,G,10,0
14,P3,G,7,0
14,A2,G,5,0
14,P2,G,0,0
14,A4,G,20,7
14,P4,G,8,10
15,P4,G,15,8
15,A4,G,25,12
15,P6,G,2.5,0
15,A6,G,20,0
15,A6.5,G,20,0
15,P2,G,0,0
15,A2,G,4,0
15,P7,G,3,0
15,A7,G,7,0
15,P3,G,10,0
15,A3,G,20,0
15,A3.5,G,20,0
15,P1,G,0,0
15,A1,G,17,0
15,P5,G,4,0
15,A5,G,6,0
16,A6,G,22.5,0
16,A6.5,G,22.5,0
16,P6,G,3,0
16,A4,G,60,10
16,P4,G,17,20
16,A7,G,5,0
16,P7,G,3,0
16,A2,G,5,0
16,P2,G,0,0
16,A3,G,9,0
16,A3.5,G,9,0
16,P3,G,3,0
16,A1,G,15,0
16,P1,G,0,0
16,A5,G,3,0
16,P5,G,3,0
17,P1,G,,0
17,A1,G,15,0
17,P2,G,,0
17,A2,G,7,0
17,P3,G,25,0
17,A3,G,25,0
17,A3.5,G,25,0
17,P6,G,3,0
17,A6,G,7,0
17,A6.5,G,7,0
17,P5,G,1.7,0
17,A5,G,4,0
17,P7,G,0.7,0
17,A7,G,2,0
17,P4,G,4.5,4.5
17,A4,G,8,3
18,A1,G,15,0
18,P1,G,0,0
18,A4,G,30,10
18,P4,G,10,10
18,A6,G,9.75,0
